Rank,State,Region,Sub-region,Name,Annual Permit (SF),Annual Change (SF),Annual Permit (MF),Annual Change (MF),Current Employment,Annual Job Growth #,Annual Job Growth %,"E-P
Ratio",Population (Estimate)
1,TX,South,West South Central,"Abilene, TX",299,28,36,12,70300,1600,2.3%,4.8,170692
2,OH,Midwest,East North Central,"Akron, OH",522,-69,137,91,343300,500,0.1%,0.8,704556
3,GA,South,South Atlantic,"Albany, GA",416,265,28,26,63100,400,0.6%,0.9,153565
4,OR,West,Pacific,"Albany, OR",370,34,63,48,45800,1600,3.6%,3.7,120576
5,NY,Northeast,Middle Atlantic,"Albany-Schenectady-Troy, NY",1240,-64,1285,-225,472400,3100,0.7%,1.2,883496
6,NM,West,Mountain,"Albuquerque, NM",2259,226,234,-88,394800,4900,1.3%,2.0,908252
7,LA,South,West South Central,"Alexandria, LA",223,1,0,0,62400,200,0.3%,0.9,155078
8,PA,Northeast,Middle Atlantic,"Allentown-Bethlehem-Easton, PA-NJ",302,-31,70,-50,374300,5600,1.5%,15.1,832786
9,PA,Northeast,Middle Atlantic,"Altoona, PA",4,4,0,0,61700,300,0.5%,75.0,125354
10,TX,South,West South Central,"Amarillo, TX",517,-40,105,89,121900,1900,1.6%,3.1,264900
11,IA,Midwest,West North Central,"Ames, IA",106,-31,579,-112,55900,1300,2.4%,1.9,95567
12,AK,West,Pacific,"Anchorage, AK",920,163,271,-24,173600,-900,-0.5%,-0.8,403410
13,MI,Midwest,East North Central,"Ann Arbor, MI",355,114,17,8,225300,3100,1.4%,8.3,360871
14,AL,South,East South Central,"Anniston-Oxford-Jacksonville, AL",60,-1,0,-4,47500,500,1.1%,8.3,114967
15,WI,Midwest,East North Central,"Appleton, WI",395,-15,210,8,125500,900,0.7%,1.5,233692
16,NC,South,South Atlantic,"Asheville, NC",1913,249,1319,919,193300,3500,1.8%,1.1,448542
17,GA,South,South Atlantic,"Athens-Clarke County, GA",535,44,316,223,99500,1900,1.9%,2.2,201051
18,GA,South,South Atlantic,"Atlanta-Sandy Springs-Roswell, GA",25396,2380,8335,-2887,2752700,41300,1.5%,1.2,5736343
19,NJ,Northeast,Middle Atlantic,"Atlantic City-Hammonton, NJ",281,11,502,95,130300,4300,3.4%,5.5,274888
20,AL,South,East South Central,"Auburn-Opelika, AL",998,73,68,28,65900,1300,2.0%,1.2,158884
21,GA,South,South Atlantic,"Augusta-Richmond County, GA-SC",2808,-30,645,252,245400,7300,3.1%,2.1,589440
22,TX,South,West South Central,"Austin-Round Rock, TX",15274,758,11821,2650,1064400,36300,3.5%,1.3,2006327
23,CA,West,Pacific,"Bakersfield, CA",1980,96,127,30,260300,3200,1.2%,1.5,889296
24,MD,South,South Atlantic,"Baltimore-Columbia-Towson, MD",5060,459,2587,1276,1413800,20900,1.5%,2.7,2808971
25,ME,Northeast,New England,"Bangor, ME",90,-1,8,-95,-,0,0.0%,0.0,153267
26,MA,Northeast,New England,"Barnstable Town, MA",125,29,6,4,-,0,0.0%,0.0,214836
27,LA,South,West South Central,"Baton Rouge, LA",3509,-324,114,110,412700,5200,1.3%,1.4,833521
28,MI,Midwest,East North Central,"Battle Creek, MI",4,0,6,6,58100,-500,-0.9%,-50.0,134775
29,MI,Midwest,East North Central,"Bay City, MI",9,-8,0,0,35300,-200,-0.6%,-22.2,105430
30,TX,South,West South Central,"Beaumont-Port Arthur, TX",414,-2,104,104,163700,-800,-0.5%,-1.5,408827
31,WV,South,South Atlantic,"Beckley, WV",81,5,0,0,44800,-200,-0.4%,-2.5,122398
32,WA,West,Pacific,"Bellingham, WA",780,45,669,234,94800,2100,2.3%,1.4,211958
33,OR,West,Pacific,"Bend-Redmond, OR",1764,10,157,-416,82700,1900,2.4%,1.0,174060
34,MT,West,Mountain,"Billings, MT",508,38,30,-12,85200,-100,-0.1%,-0.2,169738
35,NY,Northeast,Middle Atlantic,"Binghamton, NY",3,1,0,0,103400,-1000,-1.0%,-333.3,245687
36,AL,South,East South Central,"Birmingham-Hoover, AL",2705,28,534,-39,537600,10000,1.9%,3.1,1150168
37,ND,Midwest,West North Central,"Bismarck, ND",483,-72,109,-90,72200,-2000,-2.7%,-3.4,131234
38,VA,South,South Atlantic,"Blacksburg-Christiansburg-Radford, VA",88,35,12,12,78000,-400,-0.5%,-4.0,183334
39,IL,Midwest,East North Central,"Bloomington, IL",153,-39,170,15,94800,-600,-0.6%,-1.9,191024
40,IN,Midwest,East North Central,"Bloomington, IN",298,-19,320,127,76500,-800,-1.0%,-1.3,165775
41,PA,Northeast,Middle Atlantic,"Bloomsburg-Berwick, PA",94,-35,97,57,43300,100,0.2%,0.5,85942
42,ID,West,Mountain,"Boise City, ID",6660,1205,1765,571,325000,11100,3.5%,1.3,683525
43,MA,Northeast,New England,"Boston-Cambridge-Newton, MA-NH",5152,-14,10084,3106,-,0,0.0%,0.0,4790344
44,CO,West,Mountain,"Boulder, CO",693,-18,994,471,193000,3700,2.0%,2.2,320539
45,KY,South,East South Central,"Bowling Green, KY",745,98,736,423,78300,1200,1.6%,0.8,168367
46,WA,West,Pacific,"Bremerton-Silverdale, WA",954,27,201,-15,91800,1800,2.0%,1.6,257222
47,CT,Northeast,New England,"Bridgeport-Stamford-Norwalk, CT",787,36,714,273,-,0,0.0%,0.0,953232
48,TX,South,West South Central,"Brownsville-Harlingen, TX",889,59,20,-112,143000,1100,0.8%,1.2,427143
49,GA,South,South Atlantic,"Brunswick, GA",592,26,0,0,44300,100,0.2%,0.2,115798
